資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20220408,00631L,15,7,65204579,71.98
20220408,00631L,16,1,12000,0.01
20220408,00631L,17,2723,90584000,100.00
20220408,00632R,1,388,85165,0.00
20220408,00632R,2,14694,41499011,0.41
20220408,00632R,3,8577,73751032,0.73
20220408,00632R,4,3867,51614040,0.51
20220408,00632R,5,4477,85228434,0.84
20220408,00632R,6,4663,124269709,1.23
20220408,00632R,7,3156,116282006,1.15
20220408,00632R,8,2698,128235350,1.27
20220408,00632R,9,6682,509000486,5.06
20220408,00632R,10,4609,687145898,6.83
20220408,00632R,11,2899,839619102,8.34
20220408,00632R,12,1006,504776022,5.01
20220408,00632R,13,452,320197006,3.18
20220408,00632R,14,260,238258000,2.36
20220408,00632R,15,767,6336187739,63.00
20220408,00632R,16,0,0,0.00
20220408,00632R,17,59195,10056149000,100.00
20220408,00633L,1,154,30449,0.01
20220408,00633L,2,3224,8057667,3.29
20220408,00633L,3,1151,9382650,3.83
20220408,00633L,4,519,6777484,2.77
20220408,00633L,5,380,7055405,2.88
20220408,00633L,6,456,11824069,4.83
20220408,00633L,7,255,9238033,3.77
20220408,00633L,8,199,9260623,3.78
20220408,00633L,9,390,28817562,11.78
20220408,00633L,10,173,24685000,10.09
20220408,00633L,11,79,22802000,9.32
20220408,00633L,12,28,13704000,5.60
20220408,00633L,13,11,8207000,3.35
20220408,00633L,14,8,7612000,3.11
20220408,00633L,15,31,77004058,31.49
20220408,00633L,16,0,0,0.00
20220408,00633L,17,7058,244458000,100.00
20220408,00634R,1,34,4590,0.00
20220408,00634R,2,594,1499021,1.82
20220408,00634R,3,226,1947457,2.36
20220408,00634R,4,96,1268000,1.54
20220408,00634R,5,85,1604000,1.95
20220408,00634R,6,110,2943000,3.57
20220408,00634R,7,56,2059500,2.50
20220408,00634R,8,55,2554272,3.10
20220408,00634R,9,103,7564000,9.19
20220408,00634R,10,49,7092000,8.62
20220408,00634R,11,35,10140000,12.32
20220408,00634R,12,10,5029000,6.11
20220408,00634R,13,4,3085000,3.75
20220408,00634R,14,4,3845000,4.67
20220408,00634R,15,13,31621160,38.44
20220408,00634R,16,0,0,0.00
20220408,00634R,17,1474,82256000,100.00
20220408,00635U,1,935,200907,0.38
20220408,00635U,2,3804,7864713,14.97
20220408,00635U,3,583,4676743,8.90
20220408,00635U,4,154,2023656,3.85
20220408,00635U,5,142,2704918,5.15
20220408,00635U,6,99,2532485,4.82
20220408,00635U,7,60,2184000,4.15
20220408,00635U,8,26,1240000,2.36
20220408,00635U,9,67,4786497,9.11
20220408,00635U,10,27,3995000,7.60
20220408,00635U,11,15,4202000,8.00
20220408,00635U,12,6,3111000,5.92
20220408,00635U,13,5,3723978,7.09
20220408,00635U,14,1,882000,1.67
20220408,00635U,15,4,8386103,15.96
20220408,00635U,16,0,0,0.00
20220408,00635U,17,5928,52514000,100.00
20220408,00636,1,1377,469549,0.34
20220408,00636,2,6916,16378078,12.01
20220408,00636,3,1810,14594379,10.70
20220408,00636,4,639,8302876,6.08
20220408,00636,5,444,8261086,6.05
20220408,00636,6,414,10577216,7.75
20220408,00636,7,173,6285609,4.60
20220408,00636,8,140,6585517,4.82
20220408,00636,9,217,16374557,12.00
20220408,00636,10,86,11927821,8.74
20220408,00636,11,38,10913045,8.00
20220408,00636,12,14,6995000,5.12
20220408,00636,13,2,1319891,0.96
20220408,00636,14,3,2870000,2.10
20220408,00636,15,7,14510376,10.64
20220408,00636,16,0,0,0.00
20220408,00636,17,12280,136365000,100.00
20220408,00636K,1,6,1900,3.27
20220408,00636K,2,3,3700,6.36
20220408,00636K,3,1,8000,13.76
20220408,00636K,4,0,0,0.00
20220408,00636K,5,0,0,0.00
20220408,00636K,6,0,0,0.00
20220408,00636K,7,0,0,0.00
20220408,00636K,8,1,44500,76.59
20220408,00636K,9,0,0,0.00
20220408,00636K,10,0,0,0.00
20220408,00636K,11,0,0,0.00
20220408,00636K,12,0,0,0.00
20220408,00636K,13,0,0,0.00
20220408,00636K,14,0,0,0.00
20220408,00636K,15,0,0,0.00
20220408,00636K,16,0,0,0.00
20220408,00636K,17,11,58100,100.00
20220408,00637L,1,324,78111,0.00
20220408,00637L,2,8804,24283932,1.69
20220408,00637L,3,4322,35838149,2.49
20220408,00637L,4,2010,26443609,1.84
20220408,00637L,5,1781,33345527,2.32
20220408,00637L,6,1949,50939528,3.54
20220408,00637L,7,1133,41249728,2.87
20220408,00637L,8,854,39945895,2.78
20220408,00637L,9,1812,132852952,9.25
20220408,00637L,10,1030,148718967,10.35
20220408,00637L,11,538,153189308,10.67
20220408,00637L,12,167,83553000,5.82
20220408,00637L,13,92,65037000,4.53
20220408,00637L,14,53,48422000,3.37
20220408,00637L,15,136,551708294,38.43
20220408,00637L,16,0,0,0.00
20220408,00637L,17,25005,1435606000,100.00
20220408,00638R,1,21,3263,0.01
20220408,00638R,2,386,1006200,3.35
20220408,00638R,3,176,1528002,5.10
20220408,00638R,4,60,809126,2.70
20220408,00638R,5,76,1454000,4.85
20220408,00638R,6,61,1620000,5.40
20220408,00638R,7,36,1325694,4.42
20220408,00638R,8,15,720000,2.40
20220408,00638R,9,44,3333010,11.12
20220408,00638R,10,31,4425000,14.77
20220408,00638R,11,15,4308000,14.38
20220408,00638R,12,6,2907000,9.70
20220408,00638R,13,1,669001,2.23
20220408,00638R,14,1,864000,2.88
20220408,00638R,15,2,4985704,16.64
20220408,00638R,16,1,10000,0.03
20220408,00638R,17,931,29948000,100.00
20220408,00639,1,1322,525081,0.46
20220408,00639,2,3659,9226692,8.13
20220408,00639,3,1268,9989063,8.80
20220408,00639,4,459,5907886,5.20
20220408,00639,5,344,6360822,5.60
20220408,00639,6,308,7980806,7.03
20220408,00639,7,136,4903549,4.32
20220408,00639,8,110,5085070,4.48
20220408,00639,9,160,11795630,10.40
20220408,00639,10,78,11201210,9.87
20220408,00639,11,27,7725531,6.81
20220408,00639,12,6,2861000,2.52
20220408,00639,13,1,645000,0.56
20220408,00639,14,4,3496000,3.08
20220408,00639,15,12,25699660,22.66
20220408,00639,16,0,0,0.00
20220408,00639,17,7894,113403000,100.00
20220408,00640L,1,35,3438,0.02
20220408,00640L,2,295,648015,5.01
20220408,00640L,3,66,529974,4.10
20220408,00640L,4,38,489000,3.78
20220408,00640L,5,24,448000,3.46
20220408,00640L,6,26,684000,5.29
20220408,00640L,7,10,367000,2.84
20220408,00640L,8,13,608000,4.70
20220408,00640L,9,11,809000,6.26
20220408,00640L,10,10,1533000,11.86
20220408,00640L,11,1,356800,2.76
20220408,00640L,12,1,560000,4.33
20220408,00640L,13,2,1330000,10.29
20220408,00640L,14,0,0,0.00
20220408,00640L,15,2,4552773,35.24
20220408,00640L,16,0,0,0.00
20220408,00640L,17,534,12919000,100.00
20220408,00641R,1,16,2356,0.00
20220408,00641R,2,460,1187892,4.89
20220408,00641R,3,184,1573001,6.48
20220408,00641R,4,77,1022000,4.21
20220408,00641R,5,71,1340000,5.52
20220408,00641R,6,76,2032000,8.37
20220408,00641R,7,38,1407131,5.80
20220408,00641R,8,21,1000000,4.12
20220408,00641R,9,52,3782000,15.59
20220408,00641R,10,27,3540000,14.59
20220408,00641R,11,14,3719253,15.33
20220408,00641R,12,1,546000,2.25
20220408,00641R,13,0,0,0.00
20220408,00641R,14,0,0,0.00
20220408,00641R,15,2,3106367,12.80
20220408,00641R,16,0,0,0.00
20220408,00641R,17,1039,24258000,100.00
20220408,00642U,1,1194,259235,0.11
20220408,00642U,2,14232,32922020,14.04
20220408,00642U,3,3162,26189009,11.17
20220408,00642U,4,1004,13190630,5.62
20220408,00642U,5,797,15082413,6.43
20220408,00642U,6,608,16005126,6.83
20220408,00642U,7,316,11569000,4.93
20220408,00642U,8,223,10568809,4.51
20220408,00642U,9,315,22919986,9.78
20220408,00642U,10,117,16575060,7.07
20220408,00642U,11,41,11821413,5.04
20220408,00642U,12,10,4858000,2.07
20220408,00642U,13,8,5105000,2.17
20220408,00642U,14,0,0,0.00
20220408,00642U,15,10,47255299,20.16
20220408,00642U,16,0,0,0.00
20220408,00642U,17,22037,234321000,100.00
20220408,00643,1,354,119954,0.15
20220408,00643,2,2538,6642770,8.56
20220408,00643,3,852,7218387,9.30
20220408,00643,4,266,3536162,4.55
20220408,00643,5,200,3798941,4.89
20220408,00643,6,226,5927030,7.64
20220408,00643,7,86,3128676,4.03
20220408,00643,8,105,5031581,6.48
20220408,00643,9,130,9696168,12.49
20220408,00643,10,56,8061339,10.39
20220408,00643,11,21,5609000,7.23
20220408,00643,12,8,4104000,5.29
20220408,00643,13,8,5566000,7.17
20220408,00643,14,1,941000,1.21
20220408,00643,15,5,8191992,10.56
20220408,00643,16,0,0,0.00
20220408,00643,17,4856,77573000,100.00
20220408,00643K,1,0,0,0.00
20220408,00643K,2,2,5000,3.93
20220408,00643K,3,0,0,0.00
20220408,00643K,4,0,0,0.00
20220408,00643K,5,1,19000,14.96
20220408,00643K,6,1,25000,19.68
20220408,00643K,7,0,0,0.00
20220408,00643K,8,0,0,0.00
20220408,00643K,9,1,78000,61.41
20220408,00643K,10,0,0,0.00
20220408,00643K,11,0,0,0.00
20220408,00643K,12,0,0,0.00
20220408,00643K,13,0,0,0.00
20220408,00643K,14,0,0,0.00
20220408,00643K,15,0,0,0.00
20220408,00643K,16,0,0,0.00
20220408,00643K,17,5,127000,100.00
20220408,00645,1,1539,516084,2.29
20220408,00645,2,1054,2178058,9.68
20220408,00645,3,161,1244200,5.53
20220408,00645,4,39,498220,2.21
20220408,00645,5,35,636570,2.82
20220408,00645,6,16,382454,1.70
20220408,00645,7,5,186000,0.82
20220408,00645,8,4,186000,0.82
20220408,00645,9,6,395000,1.75
20220408,00645,10,6,872000,3.87
20220408,00645,11,4,1324000,5.88
20220408,00645,12,1,438000,1.94
20220408,00645,13,3,2114414,9.39
20220408,00645,14,2,1736000,7.71
20220408,00645,15,2,9790000,43.51
20220408,00645,16,0,0,0.00
20220408,00645,17,2877,22497000,100.00
20220408,00646,1,8186,2534261,0.95
20220408,00646,2,9671,19526839,7.35
20220408,00646,3,1376,10211211,3.84
20220408,00646,4,483,6108166,2.30
20220408,00646,5,265,4755079,1.79
20220408,00646,6,236,5861812,2.20
20220408,00646,7,108,3846059,1.44
20220408,00646,8,64,2956266,1.11
20220408,00646,9,89,6171523,2.32
20220408,00646,10,45,6402280,2.41
20220408,00646,11,13,3176000,1.19
20220408,00646,12,3,1500250,0.56
20220408,00646,13,5,3449610,1.29
20220408,00646,14,4,3729758,1.40
20220408,00646,15,19,185255886,69.78
20220408,00646,16,0,0,0.00
20220408,00646,17,20567,265485000,100.00
20220408,00647L,1,65,10054,0.11
20220408,00647L,2,288,635243,7.54
20220408,00647L,3,72,554895,6.59
20220408,00647L,4,32,404000,4.80
20220408,00647L,5,15,262000,3.11
20220408,00647L,6,12,311000,3.69
20220408,00647L,7,8,274000,3.25
